line_no,line,sentiment,label,score
32,would undoubtedly have wondered at the strange chance which had set,0,NEGATIVE,0.96075445
33,them down opposite to one another in a third-class carriage of the,0,NEGATIVE,0.98884356
34,Warsaw Railway Company.,1,POSITIVE,0.950402
35,"One of them was a young fellow of about twenty-seven, not tall, with",0,NEGATIVE,0.98745817
36,"black curling hair, and small, grey, fiery eyes.",1,POSITIVE,0.9978287
37,His nose was broad and,0,NEGATIVE,0.87422866
38,"flat, and he had high cheek bones; his thin lips were constantly",0,NEGATIVE,0.9977374
39,"compressed into an impudent, ironical—it might almost be called a",0,NEGATIVE,0.9980144
40,"malicious—smile; but his forehead was high and well formed, and atoned",1,POSITIVE,0.9976032
41,for a good deal of the ugliness of the lower part of his face.,0,NEGATIVE,0.99801266
42,A,1,POSITIVE,0.98729235
43,"special feature of this physiognomy was its death-like pallor, which",0,NEGATIVE,0.9893283
44,gave to the whole man an indescribably emaciated appearance in spite of,0,NEGATIVE,0.9866351
45,"his hard look, and at the same time a sort of passionate and suffering",1,POSITIVE,0.9980802
46,"expression which did not harmonize with his impudent, sarcastic smile",0,NEGATIVE,0.9991236
47,"and keen, self-satisfied bearing.",1,POSITIVE,0.99736226
48,He wore a large fur—or rather,1,POSITIVE,0.96823156
49,"astrachan—overcoat, which had kept him warm all night, while his",1,POSITIVE,0.99820465
50,neighbour had been obliged to bear the full severity of a Russian,0,NEGATIVE,0.9973735
51,November night entirely unprepared.,0,NEGATIVE,0.9992804
52,His wide sleeveless mantle with a,1,POSITIVE,0.9966453
53,large cape to it—the sort of cloak one sees upon travellers during the,1,POSITIVE,0.98819554
54,winter months in Switzerland or North Italy—was by no means adapted to,0,NEGATIVE,0.9994885
55,"the long cold journey through Russia, from Eydkuhnen to St. Petersburg.",1,POSITIVE,0.9984389
56,"The wearer of this cloak was a young fellow, also of about twenty-six",1,POSITIVE,0.9831215
57,"or twenty-seven years of age, slightly above the middle height, very",1,POSITIVE,0.99643886
58,"fair, with a thin, pointed and very light coloured beard; his eyes were",1,POSITIVE,0.9886068
59,"large and blue, and had an intent look about them, yet that heavy",0,NEGATIVE,0.9923486
60,expression which some people affirm to be a peculiarity as well as,1,POSITIVE,0.9949748
61,"evidence, of an epileptic subject.",0,NEGATIVE,0.98976344
62,His face was decidedly a pleasant,1,POSITIVE,0.9982532
63,"one for all that; refined, but quite colourless, except for the",1,POSITIVE,0.9971023
64,circumstance that at this moment it was blue with cold.,0,NEGATIVE,0.99150324
65,He held a,1,POSITIVE,0.9929312
66,bundle made up of an old faded silk handkerchief that apparently,0,NEGATIVE,0.9988546
67,"contained all his travelling wardrobe, and wore thick shoes and",1,POSITIVE,0.9985718
68,"gaiters, his whole appearance being very un-Russian.",0,NEGATIVE,0.99946845
69,"His black-haired neighbour inspected these peculiarities, having",1,POSITIVE,0.98786354
70,"nothing better to do, and at length remarked, with that rude enjoyment",0,NEGATIVE,0.99931085
71,of the discomforts of others which the common classes so often show:,1,POSITIVE,0.86115223
72,“Cold?”,0,NEGATIVE,0.9926779
73,"“Very,” said his neighbour, readily, “and this is a thaw, too.",1,POSITIVE,0.99784195
74,Fancy if,0,NEGATIVE,0.9086874
75,it had been a hard frost!,1,POSITIVE,0.99531966
76,I never thought it would be so cold in the,1,POSITIVE,0.99671984
77,old country.,0,NEGATIVE,0.985942
78,I’ve grown quite out of the way of it.,0,NEGATIVE,0.99694085
79,”,0,NEGATIVE,0.977441
80,"“What, been abroad, I suppose?”",0,NEGATIVE,0.9959212
81,"“Yes, straight from Switzerland.”",1,POSITIVE,0.9982628
82,“Wheugh! my goodness!”,0,NEGATIVE,0.9816906
83,"The black-haired young fellow whistled, and then",1,POSITIVE,0.9921771
84,laughed.,1,POSITIVE,0.9978313
85,The conversation proceeded.,1,POSITIVE,0.99739826
86,The readiness of the fair-haired young man,1,POSITIVE,0.9960527
87,in the cloak to answer all his opposite neighbour’s questions was,1,POSITIVE,0.992817
88,surprising.,1,POSITIVE,0.9984357
89,He seemed to have no suspicion of any impertinence or,1,POSITIVE,0.9947899
90,inappropriateness in the fact of such questions being put to him.,0,NEGATIVE,0.9994825
91,"Replying to them, he made known to the inquirer that he certainly had",1,POSITIVE,0.99827206
92,"been long absent from Russia, more than four years; that he had been",0,NEGATIVE,0.9980434
93,sent abroad for his health; that he had suffered from some strange,1,POSITIVE,0.99262184
94,"nervous malady—a kind of epilepsy, with convulsive spasms.",0,NEGATIVE,0.9928119
95,His,1,POSITIVE,0.99365354
96,interlocutor burst out laughing several times at his answers; and more,0,NEGATIVE,0.99353635
97,"than ever, when to the question, “whether he had been cured?” the",1,POSITIVE,0.99177694
98,patient replied:,1,POSITIVE,0.993634
99,"“No, they did not cure me.”",0,NEGATIVE,0.9993758
100,“Hey! that’s it!,1,POSITIVE,0.9941924
101,"You stumped up your money for nothing, and we believe",1,POSITIVE,0.9982988
102,"in those fellows, here!",1,POSITIVE,0.8400098
103,"” remarked the black-haired individual,",1,POSITIVE,0.98252374
104,sarcastically.,0,NEGATIVE,0.98574036
105,"“Gospel truth, sir, Gospel truth!” exclaimed another passenger, a",1,POSITIVE,0.99604815
106,"shabbily dressed man of about forty, who looked like a clerk, and",0,NEGATIVE,0.998639
107,possessed a red nose and a very blotchy face.,0,NEGATIVE,0.99704486
108,“Gospel truth!,1,POSITIVE,0.99575377
109,All they,1,POSITIVE,0.98011464
110,"do is to get hold of our good Russian money free, gratis, and for",1,POSITIVE,0.9966058
111,nothing.,0,NEGATIVE,0.99933046
112,”,0,NEGATIVE,0.977441
113,"“Oh, but you’re quite wrong in my particular instance,” said the Swiss",0,NEGATIVE,0.9987833
114,"patient, quietly.",1,POSITIVE,0.99800867
115,"“Of course I can’t argue the matter, because I know",0,NEGATIVE,0.995587
116,only my own case; but my doctor gave me money—and he had very little—to,0,NEGATIVE,0.99428064
117,"pay my journey back, besides having kept me at his own expense, while",1,POSITIVE,0.99888355
118,"there, for nearly two years.",1,POSITIVE,0.9942556
119,”,0,NEGATIVE,0.977441
120,“Why? Was there no one else to pay for you?” asked the black-haired,0,NEGATIVE,0.99927205
121,one.,0,NEGATIVE,0.97745633
122,“No—Mr.,0,NEGATIVE,0.9983923
123,"Pavlicheff, who had been supporting me there, died a couple of",0,NEGATIVE,0.99493325
124,years ago.,0,NEGATIVE,0.99616635
125,I wrote to Mrs. General Epanchin at the time (she is a,1,POSITIVE,0.9946089
126,"distant relative of mine), but she did not answer my letter.",0,NEGATIVE,0.9993837
127,And so,1,POSITIVE,0.98633105
128,eventually I came back.,1,POSITIVE,0.9958199
129,”,0,NEGATIVE,0.977441
130,“And where have you come to?”,0,NEGATIVE,0.9955365
131,"“That is—where am I going to stay? I—I really don’t quite know yet, I—”",0,NEGATIVE,0.99207383
132,Both the listeners laughed again.,1,POSITIVE,0.99868834
133,"“I suppose your whole set-up is in that bundle, then?” asked the first.",0,NEGATIVE,0.99858373
134,"“I bet anything it is!” exclaimed the red-nosed passenger, with extreme",1,POSITIVE,0.9934742
135,"satisfaction, “and that he has precious little in the luggage",0,NEGATIVE,0.998055
136,van!,1,POSITIVE,0.92547506
137,—though of course poverty is no crime—we must remember that!,1,POSITIVE,0.9929813
138,”,0,NEGATIVE,0.977441
139,It appeared that it was indeed as they had surmised.,1,POSITIVE,0.99695444
140,The young fellow,1,POSITIVE,0.99190825
141,hastened to admit the fact with wonderful readiness.,1,POSITIVE,0.99836427
142,"“Your bundle has some importance, however,” continued the clerk, when",0,NEGATIVE,0.99829304
143,they had laughed their fill (it was observable that the subject of,1,POSITIVE,0.99778694
144,their mirth joined in the laughter when he saw them laughing); “for,1,POSITIVE,0.9977562
145,though I dare say it is not stuffed full of friedrichs d’or and louis,1,POSITIVE,0.99207294
146,d’or—judge from your costume and gaiters—still—if you can add to your,0,NEGATIVE,0.988656
147,possessions such a valuable property as a relation like Mrs. General,1,POSITIVE,0.9856651
148,"Epanchin, then your bundle becomes a significant object at once.",1,POSITIVE,0.9981272
149,That,1,POSITIVE,0.9911101
150,"is, of course, if you really are a relative of Mrs. Epanchin’s, and",0,NEGATIVE,0.9911693
151,"have not made a little error through—well, absence of mind, which is",0,NEGATIVE,0.94944715
152,"very common to human beings; or, say—through a too luxuriant fancy?",1,POSITIVE,0.9912107
153,”,0,NEGATIVE,0.977441
154,"“Oh, you are right again,” said the fair-haired traveller, “for I",0,NEGATIVE,0.9933027
155,really am _almost_ wrong when I say she and I are related.,0,NEGATIVE,0.999151
156,She is,1,POSITIVE,0.98918056
157,"hardly a relation at all; so little, in fact, that I was not in the",0,NEGATIVE,0.99947107
158,least surprised to have no answer to my letter.,0,NEGATIVE,0.99815536
159,I expected as much.,1,POSITIVE,0.9919436
160,”,0,NEGATIVE,0.977441
161,"“H’m! you spent your postage for nothing, then.",0,NEGATIVE,0.99939054
162,"H’m! you are candid,",1,POSITIVE,0.99870956
163,however—and that is commendable.,1,POSITIVE,0.9938419
164,H’m!,1,POSITIVE,0.995245
165,Mrs. Epanchin—oh yes! a most,1,POSITIVE,0.997411
166,eminent person.,1,POSITIVE,0.99748725
167,I know her.,1,POSITIVE,0.9967064
168,"As for Mr. Pavlicheff, who supported you in",1,POSITIVE,0.9925737
169,"Switzerland, I know him too—at least, if it was Nicolai Andreevitch of",1,POSITIVE,0.9469582
170,that name?,0,NEGATIVE,0.99323994
171,A fine fellow he was—and had a property of four thousand,1,POSITIVE,0.9982188
172,souls in his day.,1,POSITIVE,0.99786377
173,”,0,NEGATIVE,0.977441
174,"“Yes, Nicolai Andreevitch—that was his name,” and the young fellow",1,POSITIVE,0.99035066
175,looked earnestly and with curiosity at the all-knowing gentleman with,1,POSITIVE,0.9979588
176,the red nose.,0,NEGATIVE,0.99623597
177,This sort of character is met with pretty frequently in a certain,0,NEGATIVE,0.99212456
178,class.,0,NEGATIVE,0.5319721
179,"They are people who know everyone—that is, they know where a man",1,POSITIVE,0.9926846
180,"is employed, what his salary is, whom he knows, whom he married, what",1,POSITIVE,0.93953115
181,"money his wife had, who are his cousins, and second cousins, etc., etc.",0,NEGATIVE,0.983375
182,"These men generally have about a hundred pounds a year to live on, and",0,NEGATIVE,0.99745685
183,they spend their whole time and talents in the amassing of this style,0,NEGATIVE,0.9879651
184,"of knowledge, which they reduce—or raise—to the standard of a science.",1,POSITIVE,0.98115677
185,During the latter part of the conversation the black-haired young man,1,POSITIVE,0.99513173
186,had become very impatient.,0,NEGATIVE,0.99881065
187,"He stared out of the window, and fidgeted,",0,NEGATIVE,0.99933463
188,and evidently longed for the end of the journey.,1,POSITIVE,0.99737006
189,He was very absent; he,0,NEGATIVE,0.9994845
190,would appear to listen—and heard nothing; and he would laugh of a,0,NEGATIVE,0.9994505
191,"sudden, evidently with no idea of what he was laughing about.",0,NEGATIVE,0.99947864
192,"“Excuse me,” said the red-nosed man to the young fellow with the",0,NEGATIVE,0.98953277
193,"bundle, rather suddenly; “whom have I the honour to be talking to?”",0,NEGATIVE,0.9933436
194,"“Prince Lef Nicolaievitch Muishkin,” replied the latter, with perfect",1,POSITIVE,0.99807596
195,readiness.,1,POSITIVE,0.99323016
196,“Prince Muishkin?,1,POSITIVE,0.9636178
197,Lef Nicolaievitch?,1,POSITIVE,0.9176161
198,H’m!,1,POSITIVE,0.995245
199,"I don’t know, I’m sure!",0,NEGATIVE,0.61896485
200,I may,1,POSITIVE,0.9746378
201,"say I have never heard of such a person,” said the clerk, thoughtfully.",0,NEGATIVE,0.9945562
202,"“At least, the name, I admit, is historical.",0,NEGATIVE,0.97850144
203,Karamsin must mention the,0,NEGATIVE,0.9954258
204,"family name, of course, in his history—but as an individual—one never",1,POSITIVE,0.98645353
205,hears of any Prince Muishkin nowadays.,0,NEGATIVE,0.9854927
206,”,0,NEGATIVE,0.977441
207,"“Of course not,” replied the prince; “there are none, except myself.",0,NEGATIVE,0.9865902
208,I,1,POSITIVE,0.9575427
209,believe I am the last and only one.,1,POSITIVE,0.9970836
210,"As to my forefathers, they have",1,POSITIVE,0.9928367
211,always been a poor lot; my own father was a sublieutenant in the army.,0,NEGATIVE,0.99684745
212,"I don’t know how Mrs. Epanchin comes into the Muishkin family, but she",1,POSITIVE,0.9797087
213,"is descended from the Princess Muishkin, and she, too, is the last of",1,POSITIVE,0.989669
214,her line.,1,POSITIVE,0.993893
215,”,0,NEGATIVE,0.977441
216,"“And did you learn science and all that, with your professor over",0,NEGATIVE,0.99947345
217,there?,0,NEGATIVE,0.98177826
218,” asked the black-haired passenger.,0,NEGATIVE,0.97213143
219,"“Oh yes—I did learn a little, but—”",0,NEGATIVE,0.9986026
220,"“I’ve never learned anything whatever,” said the other.",0,NEGATIVE,0.9994891
221,"“Oh, but I learned very little, you know!” added the prince, as though",0,NEGATIVE,0.99947816
222,excusing himself.,0,NEGATIVE,0.9983831
223,“They could not teach me very much on account of my,0,NEGATIVE,0.9994889
224,illness.,0,NEGATIVE,0.99592006
225,”,0,NEGATIVE,0.977441
226,"“Do you know the Rogojins?” asked his questioner, abruptly.",0,NEGATIVE,0.99764526
227,"“No, I don’t—not at all!",0,NEGATIVE,0.9973367
228,I hardly know anyone in Russia.,0,NEGATIVE,0.9994366
229,"Why, is that",0,NEGATIVE,0.9964109
230,your name?,0,NEGATIVE,0.9790756
231,”,0,NEGATIVE,0.977441
232,"“Yes, I am Rogojin, Parfen Rogojin.”",0,NEGATIVE,0.8420095
233,“Parfen Rogojin?,0,NEGATIVE,0.93993133
234,"dear me—then don’t you belong to those very Rogojins,",0,NEGATIVE,0.9961362
235,"perhaps—” began the clerk, with a very perceptible increase of civility",1,POSITIVE,0.9975716
236,in his tone.,1,POSITIVE,0.99582446
237,"“Yes—those very ones,” interrupted Rogojin, impatiently, and with scant",0,NEGATIVE,0.999241
238,courtesy.,1,POSITIVE,0.9497546
239,I may remark that he had not once taken any notice of the,0,NEGATIVE,0.99945587
240,"blotchy-faced passenger, and had hitherto addressed all his remarks",0,NEGATIVE,0.9986943
241,direct to the prince.,1,POSITIVE,0.99480796
242,"“Dear me—is it possible?” observed the clerk, while his face assumed an",1,POSITIVE,0.9821057
243,expression of great deference and servility—if not of absolute alarm:,1,POSITIVE,0.98523486
244,"“what, a son of that very Semen Rogojin—hereditary honourable",1,POSITIVE,0.9938664
245,citizen—who died a month or so ago and left two million and a half of,0,NEGATIVE,0.99652874
246,roubles?,0,NEGATIVE,0.9932739
247,”,0,NEGATIVE,0.977441
248,“And how do _you_ know that he left two million and a half of roubles?”,0,NEGATIVE,0.9993676
249,"asked Rogojin, disdainfully, and not deigning so much as to look at the",0,NEGATIVE,0.99947846
250,other.,0,NEGATIVE,0.98148733
251,"“However, it’s true enough that my father died a month ago, and",1,POSITIVE,0.9761198
252,"that here am I returning from Pskoff, a month after, with hardly a boot",0,NEGATIVE,0.99948627
253,to my foot.,0,NEGATIVE,0.99156904
254,They’ve treated me like a dog!,0,NEGATIVE,0.99947757
255,I’ve been ill of fever at,0,NEGATIVE,0.9966123
256,"Pskoff the whole time, and not a line, nor farthing of money, have I",0,NEGATIVE,0.9994871
257,received from my mother or my confounded brother!,0,NEGATIVE,0.99332756
258,”,0,NEGATIVE,0.977441
259,"“And now you’ll have a million roubles, at least—goodness gracious me!”",0,NEGATIVE,0.99817145
260,"exclaimed the clerk, rubbing his hands.",0,NEGATIVE,0.9868504
261,"“Five weeks since, I was just like yourself,” continued Rogojin,",0,NEGATIVE,0.99640405
262,"addressing the prince, “with nothing but a bundle and the clothes I",0,NEGATIVE,0.99824774
263,wore.,0,NEGATIVE,0.9986172
264,"I ran away from my father and came to Pskoff to my aunt’s house,",0,NEGATIVE,0.97707534
265,"where I caved in at once with fever, and he went and died while I was",0,NEGATIVE,0.99864984
266,away.,0,NEGATIVE,0.99035853
267,All honour to my respected father’s memory—but he uncommonly,1,POSITIVE,0.9964336
268,"nearly killed me, all the same.",0,NEGATIVE,0.99692625
269,"Give you my word, prince, if I hadn’t",0,NEGATIVE,0.97858745
270,"cut and run then, when I did, he’d have murdered me like a dog.",0,NEGATIVE,0.999247
271,”,0,NEGATIVE,0.977441
272,"“I suppose you angered him somehow?” asked the prince, looking at the",0,NEGATIVE,0.9978089
273,millionaire with considerable curiosity.,1,POSITIVE,0.9949582
274,But though there may have been,0,NEGATIVE,0.9836886
275,something remarkable in the fact that this man was heir to millions of,1,POSITIVE,0.99042094
276,roubles there was something about him which surprised and interested,1,POSITIVE,0.99453735
277,the prince more than that.,1,POSITIVE,0.99860483
278,"Rogojin, too, seemed to have taken up the",1,POSITIVE,0.99793375
279,conversation with unusual alacrity it appeared that he was still in a,1,POSITIVE,0.99825233
280,"considerable state of excitement, if not absolutely feverish, and was",1,POSITIVE,0.99684787
281,"in real need of someone to talk to for the mere sake of talking, as",0,NEGATIVE,0.997525
282,safety-valve to his agitation.,1,POSITIVE,0.9974672
283,"As for his red-nosed neighbour, the latter—since the information as to",0,NEGATIVE,0.92294896
284,"the identity of Rogojin—hung over him, seemed to be living on the honey",0,NEGATIVE,0.98762524
285,"of his words and in the breath of his nostrils, catching at every",1,POSITIVE,0.99879277
286,syllable as though it were a pearl of great price.,0,NEGATIVE,0.99097544
287,"“Oh, yes; I angered him—I certainly did anger him,” replied Rogojin.",0,NEGATIVE,0.9984728
288,“But what puts me out so is my brother.,0,NEGATIVE,0.99429256
289,Of course my mother couldn’t do,0,NEGATIVE,0.9984694
290,anything—she’s too old—and whatever brother Senka says is law for her!,0,NEGATIVE,0.9953199
291,But why couldn’t he let me know?,0,NEGATIVE,0.9993757
292,"He sent a telegram, they say.",0,NEGATIVE,0.9947183
293,What’s,1,POSITIVE,0.9857213
294,the good of a telegram?,0,NEGATIVE,0.9980015
295,It frightened my aunt so that she sent it back,0,NEGATIVE,0.99936396
296,"to the office unopened, and there it’s been ever since!",0,NEGATIVE,0.99921244
297,It’s only,1,POSITIVE,0.9727887
298,thanks to Konief that I heard at all; he wrote me all about it.,1,POSITIVE,0.9985541
299,He says,1,POSITIVE,0.9847844
300,"my brother cut off the gold tassels from my father’s coffin, at night",0,NEGATIVE,0.9932088
301,‘because they’re worth a lot of money!,1,POSITIVE,0.9953061
302,’ says he.,0,NEGATIVE,0.95077723
303,"Why, I can get him",0,NEGATIVE,0.959768
304,"sent off to Siberia for that alone, if I like; it’s sacrilege.",0,NEGATIVE,0.99742985
305,"Here,",1,POSITIVE,0.9887403
306,you—scarecrow!,0,NEGATIVE,0.9964823
307,"” he added, addressing the clerk at his side, “is it",1,POSITIVE,0.98564476
308,"sacrilege or not, by law?",0,NEGATIVE,0.9629836
309,”,0,NEGATIVE,0.977441
310,"“Sacrilege, certainly—certainly sacrilege,” said the latter.",0,NEGATIVE,0.9993302
311,"“And it’s Siberia for sacrilege, isn’t it?”",0,NEGATIVE,0.99508303
312,"“Undoubtedly so; Siberia, of course!”",1,POSITIVE,0.9939936
313,"“They will think that I’m still ill,” continued Rogojin to the prince,",0,NEGATIVE,0.9945837
314,"“but I sloped off quietly, seedy as I was, took the train and came",1,POSITIVE,0.91978717
315,away.,0,NEGATIVE,0.99035853
316,"Aha, brother Senka, you’ll have to open your gates and let me in,",0,NEGATIVE,0.993976
317,my boy!,1,POSITIVE,0.99843895
318,I know he told tales about me to my father—I know that well,1,POSITIVE,0.9537976
319,enough but I certainly did rile my father about Nastasia Philipovna,1,POSITIVE,0.98364645
320,"that’s very sure, and that was my own doing.",0,NEGATIVE,0.98866606
321,”,0,NEGATIVE,0.977441
322,"“Nastasia Philipovna?” said the clerk, as though trying to think out",0,NEGATIVE,0.9920849
323,something.,0,NEGATIVE,0.9927202
324,"“Come, you know nothing about _her_,” said Rogojin, impatiently.",0,NEGATIVE,0.99947834
325,"“And supposing I do know something?” observed the other, triumphantly.",1,POSITIVE,0.9551922
326,“Bosh! there are plenty of Nastasia Philipovnas.,0,NEGATIVE,0.9898313
327,And what an,1,POSITIVE,0.99806565
328,impertinent beast you are!,1,POSITIVE,0.99743235
329,” he added angrily.,0,NEGATIVE,0.9970309
330,“I thought some creature,0,NEGATIVE,0.99465287
331,like you would hang on to me as soon as I got hold of my money.,1,POSITIVE,0.9939477
332,”,0,NEGATIVE,0.977441
333,"“Oh, but I do know, as it happens,” said the clerk in an aggravating",0,NEGATIVE,0.9993416
334,manner.,1,POSITIVE,0.9433648
335,“Lebedeff knows all about her.,1,POSITIVE,0.9888222
336,"You are pleased to reproach me,",1,POSITIVE,0.9908544
337,"your excellency, but what if I prove that I am right after all?",1,POSITIVE,0.9799393
338,"Nastasia Philipovna’s family name is Barashkoff—I know, you see—and she",1,POSITIVE,0.9917775
339,"is a very well known lady, indeed, and comes of a good family, too.",1,POSITIVE,0.99842083
340,She,1,POSITIVE,0.9825951
341,"is connected with one Totski, Afanasy Ivanovitch, a man of considerable",1,POSITIVE,0.9951553
342,"property, a director of companies, and so on, and a great friend of",1,POSITIVE,0.9988036
343,"General Epanchin, who is interested in the same matters as he is.",1,POSITIVE,0.9974595
344,”,0,NEGATIVE,0.977441
345,"“My eyes!” said Rogojin, really surprised at last.",1,POSITIVE,0.9943738
346,“The devil take the,0,NEGATIVE,0.9929406
347,"fellow, how does he know that?",0,NEGATIVE,0.99787146
348,”,0,NEGATIVE,0.977441
349,"“Why, he knows everything—Lebedeff knows everything!",1,POSITIVE,0.69774485
350,I was a month or,0,NEGATIVE,0.99061006
351,"two with Lihachof after his father died, your excellency, and while he",1,POSITIVE,0.9980903
352,"was knocking about—he’s in the debtor’s prison now—I was with him, and",0,NEGATIVE,0.9971967
353,he couldn’t do a thing without Lebedeff; and I got to know Nastasia,1,POSITIVE,0.9961997
354,Philipovna and several people at that time.,1,POSITIVE,0.9920308
355,”,0,NEGATIVE,0.977441
356,“Nastasia Philipovna?,1,POSITIVE,0.9680726
357,"Why, you don’t mean to say that she and",0,NEGATIVE,0.99912393
358,"Lihachof—” cried Rogojin, turning quite pale.",0,NEGATIVE,0.9952606
359,"“No, no, no, no, no! Nothing of the sort, I assure you!” said Lebedeff,",0,NEGATIVE,0.99432826
360,hastily.,1,POSITIVE,0.98982865
361,"“Oh dear no, not for the world!",0,NEGATIVE,0.9916069
362,Totski’s the only man with any,1,POSITIVE,0.9946964
363,chance there.,1,POSITIVE,0.9741088
364,"Oh, no!",0,NEGATIVE,0.99683404
365,He takes her to his box at the opera at the,1,POSITIVE,0.99834645
366,"French theatre of an evening, and the officers and people all look at",1,POSITIVE,0.97440356
367,"her and say, ‘By Jove, there’s the famous Nastasia Philipovna!’ but no",0,NEGATIVE,0.9987204
368,"one ever gets any further than that, for there is nothing more to say.",0,NEGATIVE,0.9994743
369,”,0,NEGATIVE,0.977441
370,"“Yes, it’s quite true,” said Rogojin, frowning gloomily; “so Zaleshoff",0,NEGATIVE,0.9979708
371,"told me. I was walking about the Nefsky one fine day, prince, in my",1,POSITIVE,0.9971795
372,"father’s old coat, when she suddenly came out of a shop and stepped",0,NEGATIVE,0.9873646
373,into her carriage.,1,POSITIVE,0.9972532
374,I swear I was all of a blaze at once.,1,POSITIVE,0.994383
375,Then I met,1,POSITIVE,0.998196
376,"Zaleshoff—looking like a hair-dresser’s assistant, got up as fine as I",1,POSITIVE,0.994795
377,"don’t know who, while I looked like a tinker.",0,NEGATIVE,0.9991972
378,"‘Don’t flatter yourself,",0,NEGATIVE,0.99439675
379,"my boy,’ said he; ‘she’s not for such as you; she’s a princess, she is,",0,NEGATIVE,0.9926373
380,"and her name is Nastasia Philipovna Barashkoff, and she lives with",1,POSITIVE,0.9958648
381,"Totski, who wishes to get rid of her because he’s growing rather",0,NEGATIVE,0.9978631
382,"old—fifty-five or so—and wants to marry a certain beauty, the loveliest",1,POSITIVE,0.9914141
383,woman in all Petersburg.,1,POSITIVE,0.99693584
384,’ And then he told me that I could see Nastasia,1,POSITIVE,0.9825114
385,"Philipovna at the opera-house that evening, if I liked, and described",1,POSITIVE,0.99703056
386,which was her box.,1,POSITIVE,0.9945535
387,"Well, I’d like to see my father allowing any of us",1,POSITIVE,0.9849677
388,"to go to the theatre; he’d sooner have killed us, any day.",0,NEGATIVE,0.99872035
389,"However, I",1,POSITIVE,0.98320115
390,"went for an hour or so and saw Nastasia Philipovna, and I never slept a",0,NEGATIVE,0.9992171
391,wink all night after.,1,POSITIVE,0.99615353
392,Next morning my father happened to give me two,1,POSITIVE,0.99730265
393,"government loan bonds to sell, worth nearly five thousand roubles each.",0,NEGATIVE,0.99296486
394,"‘Sell them,’ said he, ‘and then take seven thousand five hundred",0,NEGATIVE,0.9980317
395,"roubles to the office, give them to the cashier, and bring me back the",0,NEGATIVE,0.99544555
396,"rest of the ten thousand, without looking in anywhere on the way; look",0,NEGATIVE,0.99857277
397,"sharp, I shall be waiting for you.",1,POSITIVE,0.99847096
398,"’ Well, I sold the bonds, but I",0,NEGATIVE,0.99811125
399,didn’t take the seven thousand roubles to the office; I went straight,1,POSITIVE,0.9892546
400,"to the English shop and chose a pair of earrings, with a diamond the",1,POSITIVE,0.99643725
401,size of a nut in each.,0,NEGATIVE,0.9835633
402,"They cost four hundred roubles more than I had,",0,NEGATIVE,0.99945647
403,"so I gave my name, and they trusted me.",1,POSITIVE,0.9984784
404,With the earrings I went at,1,POSITIVE,0.996409
405,once to Zaleshoff’s.,0,NEGATIVE,0.9868023
406,"‘Come on!’ I said, ‘come on to Nastasia",1,POSITIVE,0.9862071
407,"Philipovna’s,’ and off we went without more ado.",1,POSITIVE,0.99716806
408,I tell you I hadn’t a,0,NEGATIVE,0.9977727
409,notion of what was about me or before me or below my feet all the way;,0,NEGATIVE,0.9980668
410,I saw nothing whatever.,0,NEGATIVE,0.99944997
411,"We went straight into her drawing-room, and",1,POSITIVE,0.99837714
412,then she came out to us.,1,POSITIVE,0.9985268
413,"“I didn’t say right out who I was, but Zaleshoff said: ‘From Parfen",0,NEGATIVE,0.9981145
