,line_no,line,sentiment
92,92,"been long absent from Russia, more than four years; that he had been",0.0
93,93,sent abroad for his health; that he had suffered from some strange,-0.6124
94,94,"nervous malady—a kind of epilepsy, with convulsive spasms.",-0.2732
95,95,His,0.0
96,96,interlocutor burst out laughing several times at his answers; and more,0.4939
97,97,"than ever, when to the question, “whether he had been cured?” the",0.0
98,98,patient replied:,0.0
99,99,"“No, they did not cure me.”",0.0
100,100,“Hey! that’s it!,0.0
101,101,"You stumped up your money for nothing, and we believe",0.0
102,102,"in those fellows, here!",0.0
103,103,"” remarked the black-haired individual,",0.0
104,104,sarcastically.,-0.2732
105,105,"“Gospel truth, sir, Gospel truth!” exclaimed another passenger, a",0.3802
106,106,"shabbily dressed man of about forty, who looked like a clerk, and",0.3612
107,107,possessed a red nose and a very blotchy face.,0.0
108,108,“Gospel truth!,0.3802
109,109,All they,0.0
110,110,"do is to get hold of our good Russian money free, gratis, and for",0.7506
111,111,nothing.,0.0
112,112,”,0.0
113,113,"“Oh, but you’re quite wrong in my particular instance,” said the Swiss",-0.6798
114,114,"patient, quietly.",0.0
115,115,"“Of course I can’t argue the matter, because I know",-0.3182
116,116,only my own case; but my doctor gave me money—and he had very little—to,0.0
117,117,"pay my journey back, besides having kept me at his own expense, while",-0.1027
118,118,"there, for nearly two years.",0.0
119,119,”,0.0
120,120,“Why? Was there no one else to pay for you?” asked the black-haired,-0.4515
121,121,one.,0.0
122,122,“No—Mr.,0.0
123,123,"Pavlicheff, who had been supporting me there, died a couple of",-0.1779
124,124,years ago.,0.0
125,125,I wrote to Mrs. General Epanchin at the time (she is a,0.0
126,126,"distant relative of mine), but she did not answer my letter.",0.0
127,127,And so,0.0
128,128,eventually I came back.,0.0
129,129,”,0.0
130,130,“And where have you come to?”,0.0
131,131,"“That is—where am I going to stay? I—I really don’t quite know yet, I—”",0.0
132,132,Both the listeners laughed again.,0.4588
133,133,"“I suppose your whole set-up is in that bundle, then?” asked the first.",0.0
134,134,"“I bet anything it is!” exclaimed the red-nosed passenger, with extreme",0.0
135,135,"satisfaction, “and that he has precious little in the luggage",0.765
136,136,van!,0.0
137,137,—though of course poverty is no crime—we must remember that!,-0.6996
138,138,”,0.0
139,139,It appeared that it was indeed as they had surmised.,0.0
140,140,The young fellow,0.0
141,141,hastened to admit the fact with wonderful readiness.,0.7579
142,142,"“Your bundle has some importance, however,” continued the clerk, when",0.3612
143,143,they had laughed their fill (it was observable that the subject of,0.4588
144,144,their mirth joined in the laughter when he saw them laughing); “for,0.875
145,145,though I dare say it is not stuffed full of friedrichs d’or and louis,0.0
146,146,d’or—judge from your costume and gaiters—still—if you can add to your,0.0
147,147,possessions such a valuable property as a relation like Mrs. General,0.6808
148,148,"Epanchin, then your bundle becomes a significant object at once.",0.2023
149,149,That,0.0
150,150,"is, of course, if you really are a relative of Mrs. Epanchin’s, and",0.0
151,151,"have not made a little error through—well, absence of mind, which is",-0.3415
152,152,"very common to human beings; or, say—through a too luxuriant fancy?",0.0
153,153,”,0.0
154,154,"“Oh, you are right again,” said the fair-haired traveller, “for I",0.0
155,155,really am _almost_ wrong when I say she and I are related.,-0.4715
156,156,She is,0.0
157,157,"hardly a relation at all; so little, in fact, that I was not in the",0.0
158,158,least surprised to have no answer to my letter.,-0.434
159,159,I expected as much.,0.0
160,160,”,0.0
161,161,"“H’m! you spent your postage for nothing, then.",0.0
162,162,"H’m! you are candid,",0.0
163,163,however—and that is commendable.,0.0
164,164,H’m!,0.0
165,165,Mrs. Epanchin—oh yes! a most,0.4574
166,166,eminent person.,0.0
167,167,I know her.,0.0
168,168,"As for Mr. Pavlicheff, who supported you in",0.3182
169,169,"Switzerland, I know him too—at least, if it was Nicolai Andreevitch of",0.0
170,170,that name?,0.0
171,171,A fine fellow he was—and had a property of four thousand,0.2023
172,172,souls in his day.,0.0
173,173,”,0.0
174,174,"“Yes, Nicolai Andreevitch—that was his name,” and the young fellow",0.0
175,175,looked earnestly and with curiosity at the all-knowing gentleman with,0.0
176,176,the red nose.,0.0
177,177,This sort of character is met with pretty frequently in a certain,0.6486
178,178,class.,0.0
179,179,"They are people who know everyone—that is, they know where a man",0.0
180,180,"is employed, what his salary is, whom he knows, whom he married, what",0.0
181,181,"money his wife had, who are his cousins, and second cousins, etc., etc.",0.0
182,182,"These men generally have about a hundred pounds a year to live on, and",0.0
183,183,they spend their whole time and talents in the amassing of this style,0.4588
184,184,"of knowledge, which they reduce—or raise—to the standard of a science.",0.0
185,185,During the latter part of the conversation the black-haired young man,0.0
186,186,had become very impatient.,-0.3597
187,187,"He stared out of the window, and fidgeted,",0.0
188,188,and evidently longed for the end of the journey.,0.0
189,189,He was very absent; he,0.0
190,190,would appear to listen—and heard nothing; and he would laugh of a,0.5574
191,191,"sudden, evidently with no idea of what he was laughing about.",0.25
192,192,"“Excuse me,” said the red-nosed man to the young fellow with the",0.0
193,193,"bundle, rather suddenly; “whom have I the honour to be talking to?”",0.5719
194,194,"“Prince Lef Nicolaievitch Muishkin,” replied the latter, with perfect",0.5719
195,195,readiness.,0.25
196,196,“Prince Muishkin?,0.0
197,197,Lef Nicolaievitch?,0.0
198,198,H’m!,0.0
199,199,"I don’t know, I’m sure!",0.3802
200,200,I may,0.0
201,201,"say I have never heard of such a person,” said the clerk, thoughtfully.",0.4019
202,202,"“At least, the name, I admit, is historical.",0.2023
203,203,Karamsin must mention the,0.0
204,204,"family name, of course, in his history—but as an individual—one never",0.0
205,205,hears of any Prince Muishkin nowadays.,0.0
206,206,”,0.0
207,207,"“Of course not,” replied the prince; “there are none, except myself.",0.0
208,208,I,0.0
209,209,believe I am the last and only one.,0.0
210,210,"As to my forefathers, they have",0.0
211,211,always been a poor lot; my own father was a sublieutenant in the army.,-0.4767
212,212,"I don’t know how Mrs. Epanchin comes into the Muishkin family, but she",0.0
213,213,"is descended from the Princess Muishkin, and she, too, is the last of",0.0
214,214,her line.,0.0
215,215,”,0.0
216,216,"“And did you learn science and all that, with your professor over",0.0
217,217,there?,0.0
218,218,” asked the black-haired passenger.,0.0
219,219,"“Oh yes—I did learn a little, but—”",0.0
220,220,"“I’ve never learned anything whatever,” said the other.",0.0
221,221,"“Oh, but I learned very little, you know!” added the prince, as though",0.0
222,222,excusing himself.,0.0
223,223,“They could not teach me very much on account of my,0.0
224,224,illness.,-0.4019
225,225,”,0.0
226,226,"“Do you know the Rogojins?” asked his questioner, abruptly.",0.0
227,227,"“No, I don’t—not at all!",0.0
228,228,I hardly know anyone in Russia.,0.0
229,229,"Why, is that",0.0
230,230,your name?,0.0
231,231,”,0.0
232,232,"“Yes, I am Rogojin, Parfen Rogojin.”",0.0
233,233,“Parfen Rogojin?,0.0
234,234,"dear me—then don’t you belong to those very Rogojins,",0.3818
235,235,"perhaps—” began the clerk, with a very perceptible increase of civility",0.3774
236,236,in his tone.,0.0
237,237,"“Yes—those very ones,” interrupted Rogojin, impatiently, and with scant",-0.6344
238,238,courtesy.,0.3612
239,239,I may remark that he had not once taken any notice of the,0.0
240,240,"blotchy-faced passenger, and had hitherto addressed all his remarks",0.0
241,241,direct to the prince.,0.0
242,242,"“Dear me—is it possible?” observed the clerk, while his face assumed an",0.0
243,243,expression of great deference and servility—if not of absolute alarm:,0.7299
244,244,"“what, a son of that very Semen Rogojin—hereditary honourable",0.5209
245,245,citizen—who died a month or so ago and left two million and a half of,-0.5574
246,246,roubles?,0.0
247,247,”,0.0
248,248,“And how do _you_ know that he left two million and a half of roubles?”,0.0
249,249,"asked Rogojin, disdainfully, and not deigning so much as to look at the",0.0
250,250,other.,0.0
251,251,"“However, it’s true enough that my father died a month ago, and",-0.2023
252,252,"that here am I returning from Pskoff, a month after, with hardly a boot",0.0
253,253,to my foot.,0.0
254,254,They’ve treated me like a dog!,0.4199
255,255,I’ve been ill of fever at,-0.4215
256,256,"Pskoff the whole time, and not a line, nor farthing of money, have I",0.0
257,257,received from my mother or my confounded brother!,0.0
258,258,”,0.0
259,259,"“And now you’ll have a million roubles, at least—goodness gracious me!”",0.5983
260,260,"exclaimed the clerk, rubbing his hands.",0.0
261,261,"“Five weeks since, I was just like yourself,” continued Rogojin,",0.3612
262,262,"addressing the prince, “with nothing but a bundle and the clothes I",0.0
263,263,wore.,0.0
264,264,"I ran away from my father and came to Pskoff to my aunt’s house,",0.0
265,265,"where I caved in at once with fever, and he went and died while I was",-0.5574
266,266,away.,0.0
267,267,All honour to my respected father’s memory—but he uncommonly,0.7783
268,268,"nearly killed me, all the same.",-0.6705
269,269,"Give you my word, prince, if I hadn’t",0.0
270,270,"cut and run then, when I did, he’d have murdered me like a dog.",-0.6124
271,271,”,0.0
272,272,"“I suppose you angered him somehow?” asked the prince, looking at the",-0.5106
273,273,millionaire with considerable curiosity.,0.0
274,274,But though there may have been,0.0
275,275,something remarkable in the fact that this man was heir to millions of,0.5574
276,276,roubles there was something about him which surprised and interested,0.5574
277,277,the prince more than that.,0.0
278,278,"Rogojin, too, seemed to have taken up the",0.0
279,279,conversation with unusual alacrity it appeared that he was still in a,0.0
280,280,"considerable state of excitement, if not absolutely feverish, and was",0.5367
281,281,"in real need of someone to talk to for the mere sake of talking, as",0.0
282,282,safety-valve to his agitation.,-0.25
283,283,"As for his red-nosed neighbour, the latter—since the information as to",0.0
284,284,"the identity of Rogojin—hung over him, seemed to be living on the honey",0.0
285,285,"of his words and in the breath of his nostrils, catching at every",0.0
286,286,syllable as though it were a pearl of great price.,0.6249
287,287,"“Oh, yes; I angered him—I certainly did anger him,” replied Rogojin.",-0.4404
288,288,“But what puts me out so is my brother.,0.0
289,289,Of course my mother couldn’t do,0.0
290,290,anything—she’s too old—and whatever brother Senka says is law for her!,0.0
291,291,But why couldn’t he let me know?,0.0
292,292,"He sent a telegram, they say.",0.0
293,293,What’s,0.0
294,294,the good of a telegram?,0.4404
295,295,It frightened my aunt so that she sent it back,-0.4404
296,296,"to the office unopened, and there it’s been ever since!",0.0
297,297,It’s only,0.0
298,298,thanks to Konief that I heard at all; he wrote me all about it.,0.4404
299,299,He says,0.0
300,300,"my brother cut off the gold tassels from my father’s coffin, at night",-0.2732
301,301,‘because they’re worth a lot of money!,0.2942
302,302,’ says he.,0.0
303,303,"Why, I can get him",0.0
304,304,"sent off to Siberia for that alone, if I like; it’s sacrilege.",0.128
305,305,"Here,",0.0
306,306,you—scarecrow!,0.0
307,307,"” he added, addressing the clerk at his side, “is it",0.0
308,308,"sacrilege or not, by law?",0.0
309,309,”,0.0
310,310,"“Sacrilege, certainly—certainly sacrilege,” said the latter.",0.0
311,311,"“And it’s Siberia for sacrilege, isn’t it?”",0.0
312,312,"“Undoubtedly so; Siberia, of course!”",0.0
313,313,"“They will think that I’m still ill,” continued Rogojin to the prince,",0.0
314,314,"“but I sloped off quietly, seedy as I was, took the train and came",0.0
315,315,away.,0.0
316,316,"Aha, brother Senka, you’ll have to open your gates and let me in,",0.0
317,317,my boy!,0.0
318,318,I know he told tales about me to my father—I know that well,0.2732
319,319,enough but I certainly did rile my father about Nastasia Philipovna,0.4767
320,320,"that’s very sure, and that was my own doing.",0.3804
321,321,”,0.0
322,322,"“Nastasia Philipovna?” said the clerk, as though trying to think out",0.0
323,323,something.,0.0
324,324,"“Come, you know nothing about _her_,” said Rogojin, impatiently.",-0.4019
325,325,"“And supposing I do know something?” observed the other, triumphantly.",0.5106
326,326,“Bosh! there are plenty of Nastasia Philipovnas.,0.0
327,327,And what an,0.0
328,328,impertinent beast you are!,0.0
329,329,” he added angrily.,-0.4215
330,330,“I thought some creature,0.0
331,331,like you would hang on to me as soon as I got hold of my money.,0.3612
332,332,”,0.0
333,333,"“Oh, but I do know, as it happens,” said the clerk in an aggravating",-0.4215
334,334,manner.,0.0
335,335,“Lebedeff knows all about her.,0.0
336,336,"You are pleased to reproach me,",0.4404
337,337,"your excellency, but what if I prove that I am right after all?",0.3071
338,338,"Nastasia Philipovna’s family name is Barashkoff—I know, you see—and she",0.0
339,339,"is a very well known lady, indeed, and comes of a good family, too.",0.6478
340,340,She,0.0
341,341,"is connected with one Totski, Afanasy Ivanovitch, a man of considerable",0.0
342,342,"property, a director of companies, and so on, and a great friend of",0.8074
343,343,"General Epanchin, who is interested in the same matters as he is.",0.4215
344,344,”,0.0
345,345,"“My eyes!” said Rogojin, really surprised at last.",0.358
346,346,“The devil take the,-0.6597
347,347,"fellow, how does he know that?",0.0
348,348,”,0.0
349,349,"“Why, he knows everything—Lebedeff knows everything!",0.0
350,350,I was a month or,0.0
351,351,"two with Lihachof after his father died, your excellency, and while he",-0.0258
352,352,"was knocking about—he’s in the debtor’s prison now—I was with him, and",-0.5106
353,353,he couldn’t do a thing without Lebedeff; and I got to know Nastasia,0.0
354,354,Philipovna and several people at that time.,0.0
355,355,”,0.0
356,356,“Nastasia Philipovna?,0.0
357,357,"Why, you don’t mean to say that she and",0.0
358,358,"Lihachof—” cried Rogojin, turning quite pale.",-0.3818
359,359,"“No, no, no, no, no! Nothing of the sort, I assure you!” said Lebedeff,",0.4559
360,360,hastily.,0.0
361,361,"“Oh dear no, not for the world!",0.4389
362,362,Totski’s the only man with any,0.0
363,363,chance there.,0.25
364,364,"Oh, no!",0.0
365,365,He takes her to his box at the opera at the,0.0
366,366,"French theatre of an evening, and the officers and people all look at",0.0
367,367,"her and say, ‘By Jove, there’s the famous Nastasia Philipovna!’ but no",-0.4753
368,368,"one ever gets any further than that, for there is nothing more to say.",0.0
369,369,”,0.0
370,370,"“Yes, it’s quite true,” said Rogojin, frowning gloomily; “so Zaleshoff",-0.34
371,371,"told me. I was walking about the Nefsky one fine day, prince, in my",0.2023
372,372,"father’s old coat, when she suddenly came out of a shop and stepped",0.0
373,373,into her carriage.,0.0
374,374,I swear I was all of a blaze at once.,-0.0516
375,375,Then I met,0.0
376,376,"Zaleshoff—looking like a hair-dresser’s assistant, got up as fine as I",0.5106
377,377,"don’t know who, while I looked like a tinker.",0.3612
378,378,"‘Don’t flatter yourself,",0.1027
379,379,"my boy,’ said he; ‘she’s not for such as you; she’s a princess, she is,",0.0
380,380,"and her name is Nastasia Philipovna Barashkoff, and she lives with",0.0
381,381,"Totski, who wishes to get rid of her because he’s growing rather",0.3182
382,382,"old—fifty-five or so—and wants to marry a certain beauty, the loveliest",0.7096
383,383,woman in all Petersburg.,0.0
384,384,’ And then he told me that I could see Nastasia,0.0
385,385,"Philipovna at the opera-house that evening, if I liked, and described",0.4215
386,386,which was her box.,0.0
387,387,"Well, I’d like to see my father allowing any of us",0.5574
388,388,"to go to the theatre; he’d sooner have killed us, any day.",-0.6705
389,389,"However, I",0.0
390,390,"went for an hour or so and saw Nastasia Philipovna, and I never slept a",0.0
391,391,wink all night after.,0.0
392,392,Next morning my father happened to give me two,0.0
393,393,"government loan bonds to sell, worth nearly five thousand roubles each.",0.2263
394,394,"‘Sell them,’ said he, ‘and then take seven thousand five hundred",0.0
395,395,"roubles to the office, give them to the cashier, and bring me back the",0.0
396,396,"rest of the ten thousand, without looking in anywhere on the way; look",0.0
397,397,"sharp, I shall be waiting for you.",0.0
398,398,"’ Well, I sold the bonds, but I",0.1406
399,399,didn’t take the seven thousand roubles to the office; I went straight,0.2263
400,400,"to the English shop and chose a pair of earrings, with a diamond the",0.34
401,401,size of a nut in each.,0.0
402,402,"They cost four hundred roubles more than I had,",0.0
403,403,"so I gave my name, and they trusted me.",0.4767
404,404,With the earrings I went at,0.0
405,405,once to Zaleshoff’s.,0.0
406,406,"‘Come on!’ I said, ‘come on to Nastasia",0.0
407,407,"Philipovna’s,’ and off we went without more ado.",0.0
408,408,I tell you I hadn’t a,0.0
409,409,notion of what was about me or before me or below my feet all the way;,0.0
410,410,I saw nothing whatever.,0.0
411,411,"We went straight into her drawing-room, and",0.2263
412,412,then she came out to us.,0.0
413,413,"“I didn’t say right out who I was, but Zaleshoff said: ‘From Parfen",0.0
414,414,"Rogojin, in memory of his first meeting with you yesterday; be so kind",0.656
415,415,as to accept these!,0.4389
416,416,’,0.0
417,417,"“She opened the parcel, looked at the earrings, and laughed.",0.4588
418,418,"“‘Thank your friend Mr. Rogojin for his kind attention,’ says she, and",0.765
419,419,bowed and went off.,0.0
420,420,Why didn’t I die there on the spot?,-0.5994
421,421,The worst of it,-0.6249
422,422,"all was, though, that the beast Zaleshoff got all the credit of it!",0.4389
423,423,I,0.0
424,424,"was short and abominably dressed, and stood and stared in her face and",0.0
425,425,"never said a word, because I was shy, like an ass!",-0.5093
426,426,And there was he all,0.0
427,427,"in the fashion, pomaded and dressed out, with a smart tie on, bowing",0.4019
428,428,and scraping; and I bet anything she took him for me all the while!,0.0
429,429,"“‘Look here now,’ I said, when we came out, ‘none of your interference",0.0
430,430,here after this—do you understand?,0.0
431,431,’ He laughed: ‘And how are you going,0.4588
432,432,to settle up with your father?,0.0
433,433,’ says he.,0.0
434,434,I thought I might as well jump,0.2732
435,435,into the Neva at once without going home first; but it struck me that I,-0.3612
436,436,"wouldn’t, after all, and I went home feeling like one of the damned.",0.1027
437,437,”,0.0
438,438,“My goodness!” shivered the clerk.,0.0
439,439,"“And his father,” he added, for the",0.0
440,440,"prince’s instruction, “and his father would have given a man a ticket",0.0
441,441,to the other world for ten roubles any day—not to speak of ten,0.0
442,442,thousand!,0.0
443,443,”,0.0
444,444,The prince observed Rogojin with great curiosity; he seemed paler than,0.6249
445,445,ever at this moment.,0.0
446,446,“What do you know about it?” cried the latter.,-0.3818
447,447,"“Well, my father learned",0.0
448,448,"the whole story at once, and Zaleshoff blabbed it all over the town",0.0
449,449,besides.,0.0
450,450,"So he took me upstairs and locked me up, and swore at me for",0.0
451,451,an hour.,0.0
452,452,"‘This is only a foretaste,’ says he; ‘wait a bit till night",0.0
453,453,"comes, and I’ll come back and talk to you again.",0.0
454,454,’,0.0
455,455,"“Well, what do you think?",0.0
456,456,The old fellow went straight off to Nastasia,0.2263
457,457,"Philipovna, touched the floor with his forehead, and began blubbering",0.0
458,458,and beseeching her on his knees to give him back the diamonds.,0.0
459,459,So after,0.0
460,460,awhile she brought the box and flew out at him.,0.0
461,461,"‘There,’ she says,",0.0
462,462,"‘take your earrings, you wretched old miser; although they are ten",-0.4215
463,463,times dearer than their value to me now that I know what it must have,0.6486
464,464,cost Parfen to get them!,0.0
465,465,"Give Parfen my compliments,’ she says, ‘and",0.0
466,466,thank him very much!,0.4199
467,467,"’ Well, I meanwhile had borrowed twenty-five",0.2732
468,468,"roubles from a friend, and off I went to Pskoff to my aunt’s.",0.4939
469,469,The old,0.0
470,470,woman there lectured me so that I left the house and went on a drinking,0.0
471,471,tour round the public-houses of the place.,0.0
472,472,I was in a high fever when I,0.0
473,473,"got to Pskoff, and by nightfall I was lying delirious in the streets",-0.5267
474,474,somewhere or other!,0.0
475,475,”,0.0
476,476,“Oho! we’ll make Nastasia Philipovna sing another song now!” giggled,0.4738
477,477,"Lebedeff, rubbing his hands with glee.",0.6369
478,478,"“Hey, my boy, we’ll get her some",0.0
479,479,proper earrings now!,0.0
480,480,We’ll get her such earrings that—”,0.0
481,481,"“Look here,” cried Rogojin, seizing him fiercely by the arm, “look",-0.3818
482,482,"here, if you so much as name Nastasia Philipovna again, I’ll tan your",0.0
483,483,hide as sure as you sit there!,0.2244
484,484,”,0.0
485,485,“Aha! do—by all means! if you tan my hide you won’t turn me away from,-0.3147
486,486,your society.,0.0
487,487,"You’ll bind me to you, with your lash, for ever.",0.0
488,488,"Ha, ha!",0.0
489,489,"here we are at the station, though.",0.0
490,490,”,0.0
491,491,"Sure enough, the train was just steaming in as he spoke.",0.3182
492,492,"Though Rogojin had declared that he left Pskoff secretly, a large",0.0
493,493,"collection of friends had assembled to greet him, and did so with",0.6597
494,494,profuse waving of hats and shouting.,0.0
495,495,"“Why, there’s Zaleshoff here, too!” he muttered, gazing at the scene",0.0
496,496,with a sort of triumphant but unpleasant smile.,0.0396
497,497,Then he suddenly turned,0.0
498,498,"to the prince: “Prince, I don’t know why I have taken a fancy to you;",0.0
499,499,perhaps because I met you just when I did.,0.0
500,500,"But no, it can’t be that,",0.0
501,501,for I met this fellow”,0.0
502,502,(nodding at Lebedeff),0.0
503,503,"“too, and I have not taken",0.0
504,504,a fancy to him by any means.,0.0
505,505,"Come to see me, prince; we’ll take off",0.0
506,506,"those gaiters of yours and dress you up in a smart fur coat, the best",0.7845
507,507,we can buy.,0.0
508,508,"You shall have a dress coat, best quality, white waistcoat,",0.6369
509,509,"anything you like, and your pocket shall be full of money.",0.3612
510,510,"Come, and",0.0
511,511,you shall go with me to Nastasia Philipovna’s.,0.0
512,512,Now then will you come,0.0
513,513,or no?,0.0
514,514,”,0.0
515,515,"“Accept, accept, Prince Lef Nicolaievitch” said Lebedef solemnly;",0.5267
516,516,"“don’t let it slip! Accept, quick!”",0.4912
517,517,"Prince Muishkin rose and stretched out his hand courteously, while he",0.4939
518,518,replied with some cordiality:,0.0
519,519,"“I will come with the greatest pleasure, and thank you very much for",0.886
520,520,"taking a fancy to me. I dare say I may even come today if I have time,",0.0
521,521,for I tell you frankly that I like you very much too.,0.3612
522,522,I liked you,0.4215
523,523,especially when you told us about the diamond earrings; but I liked you,0.6597
524,524,"before that as well, though you have such a dark-clouded sort of face.",0.2732
525,525,Thanks very much for the offer of clothes and a fur coat; I certainly,0.6486
526,526,shall require both clothes and coat very soon.,0.0
527,527,"As for money, I have",0.0
528,528,hardly a copeck about me at this moment.,0.0
529,529,”,0.0
530,530,“You shall have lots of money; by the evening I shall have plenty; so,0.0
531,531,come along!,0.0
532,532,”,0.0
533,533,"“That’s true enough, he’ll have lots before evening!” put in Lebedeff.",0.4753
534,534,"“But, look here, are you a great hand with the ladies?",0.8074
535,535,Let’s know that,0.0
536,536,first?,0.0
537,537,” asked Rogojin.,0.0
538,538,"“Oh no, oh no!” said the prince; “I couldn’t, you know—my illness—I",0.0
539,539,hardly ever saw a soul.,0.0
540,540,”,0.0
541,541,"“H’m! well—here, you fellow—you can come along with me now if you",0.0
542,542,like!,0.4199
543,543,"” cried Rogojin to Lebedeff, and so they all left the carriage.",-0.3818
544,544,Lebedeff had his desire.,0.4019
545,545,He went off with the noisy group of Rogojin’s,-0.1779
546,546,"friends towards the Voznesensky, while the prince’s route lay towards",0.4767
547,547,the Litaynaya.,0.0
548,548,It was damp and wet.,0.0
549,549,The prince asked his way of,0.0
550,550,"passers-by, and finding that he was a couple of miles or so from his",0.0
551,551,"destination, he determined to take a droshky.",0.34
552,552,II.,0.0
553,553,General Epanchin lived in his own house near the Litaynaya.,0.0
554,554,Besides,0.0
555,555,this large residence—five-sixths of which was let in flats and,0.0
556,556,lodgings—the general was owner of another enormous house in the,0.0
557,557,Sadovaya bringing in even more rent than the first.,0.0
558,558,Besides these,0.0
559,559,"houses he had a delightful little estate just out of town, and some",0.5859
560,560,sort of factory in another part of the city.,0.0
561,561,"General Epanchin, as",0.0
562,562,"everyone knew, had a good deal to do with certain government",0.6124
563,563,"monopolies; he was also a voice, and an important one, in many rich",0.6597
564,564,"public companies of various descriptions; in fact, he enjoyed the",0.5106
565,565,"reputation of being a well-to-do man of busy habits, many ties, and",0.0
566,566,affluent means.,0.0
567,567,"He had made himself indispensable in several quarters,",0.0
568,568,amongst others in his department of the government; and yet it was a,0.0
