line_no,line,sentiment,label,score
116,only my own case; but my doctor gave me money—and he had very little—to,1,2 stars,0.34521374
117,"pay my journey back, besides having kept me at his own expense, while",0,1 star,0.2303196
118,"there, for nearly two years.",1,2 stars,0.3307501
119,”,4,5 stars,0.30857787
120,“Why? Was there no one else to pay for you?” asked the black-haired,0,1 star,0.56950086
121,one.,0,1 star,0.26719677
122,“No—Mr.,0,1 star,0.5864723
123,"Pavlicheff, who had been supporting me there, died a couple of",2,3 stars,0.3248931
124,years ago.,4,5 stars,0.34158936
125,I wrote to Mrs. General Epanchin at the time (she is a,0,1 star,0.24157207
126,"distant relative of mine), but she did not answer my letter.",1,2 stars,0.3893132
127,And so,2,3 stars,0.3622347
128,eventually I came back.,2,3 stars,0.30263132
129,”,4,5 stars,0.30857787
130,“And where have you come to?”,4,5 stars,0.44612697
131,"“That is—where am I going to stay? I—I really don’t quite know yet, I—”",2,3 stars,0.2695944
132,Both the listeners laughed again.,0,1 star,0.43897697
133,"“I suppose your whole set-up is in that bundle, then?” asked the first.",0,1 star,0.25809872
134,"“I bet anything it is!” exclaimed the red-nosed passenger, with extreme",0,1 star,0.66152614
135,"satisfaction, “and that he has precious little in the luggage",4,5 stars,0.5512846
136,van!,0,1 star,0.49661916
137,—though of course poverty is no crime—we must remember that!,2,3 stars,0.23460236
138,”,4,5 stars,0.30857787
139,It appeared that it was indeed as they had surmised.,2,3 stars,0.34828264
140,The young fellow,3,4 stars,0.33582872
141,hastened to admit the fact with wonderful readiness.,4,5 stars,0.68563765
142,"“Your bundle has some importance, however,” continued the clerk, when",2,3 stars,0.43945387
143,they had laughed their fill (it was observable that the subject of,1,2 stars,0.35936743
144,their mirth joined in the laughter when he saw them laughing); “for,3,4 stars,0.2954331
145,though I dare say it is not stuffed full of friedrichs d’or and louis,2,3 stars,0.33232158
146,d’or—judge from your costume and gaiters—still—if you can add to your,2,3 stars,0.29353917
147,possessions such a valuable property as a relation like Mrs. General,4,5 stars,0.6997861
148,"Epanchin, then your bundle becomes a significant object at once.",2,3 stars,0.3309525
149,That,0,1 star,0.33684373
150,"is, of course, if you really are a relative of Mrs. Epanchin’s, and",2,3 stars,0.3985658
151,"have not made a little error through—well, absence of mind, which is",2,3 stars,0.40247828
152,"very common to human beings; or, say—through a too luxuriant fancy?",2,3 stars,0.28378204
153,”,4,5 stars,0.30857787
154,"“Oh, you are right again,” said the fair-haired traveller, “for I",4,5 stars,0.42535505
155,really am _almost_ wrong when I say she and I are related.,1,2 stars,0.40043673
156,She is,2,3 stars,0.26775056
157,"hardly a relation at all; so little, in fact, that I was not in the",1,2 stars,0.49421996
158,least surprised to have no answer to my letter.,0,1 star,0.3999439
159,I expected as much.,2,3 stars,0.4981355
160,”,4,5 stars,0.30857787
161,"“H’m! you spent your postage for nothing, then.",0,1 star,0.6296754
162,"H’m! you are candid,",4,5 stars,0.46231118
163,however—and that is commendable.,3,4 stars,0.39514014
164,H’m!,0,1 star,0.29215693
165,Mrs. Epanchin—oh yes! a most,4,5 stars,0.47637513
166,eminent person.,4,5 stars,0.8713169
167,I know her.,4,5 stars,0.45860183
168,"As for Mr. Pavlicheff, who supported you in",4,5 stars,0.48269433
169,"Switzerland, I know him too—at least, if it was Nicolai Andreevitch of",2,3 stars,0.3614283
170,that name?,0,1 star,0.4376042
171,A fine fellow he was—and had a property of four thousand,3,4 stars,0.49432337
172,souls in his day.,4,5 stars,0.5647568
173,”,4,5 stars,0.30857787
174,"“Yes, Nicolai Andreevitch—that was his name,” and the young fellow",4,5 stars,0.28763744
175,looked earnestly and with curiosity at the all-knowing gentleman with,4,5 stars,0.5604061
176,the red nose.,4,5 stars,0.2654648
177,This sort of character is met with pretty frequently in a certain,2,3 stars,0.43104762
178,class.,4,5 stars,0.45383483
179,"They are people who know everyone—that is, they know where a man",4,5 stars,0.27933797
180,"is employed, what his salary is, whom he knows, whom he married, what",3,4 stars,0.36036322
181,"money his wife had, who are his cousins, and second cousins, etc., etc.",4,5 stars,0.31127325
182,"These men generally have about a hundred pounds a year to live on, and",2,3 stars,0.27377027
183,they spend their whole time and talents in the amassing of this style,4,5 stars,0.5612068
184,"of knowledge, which they reduce—or raise—to the standard of a science.",4,5 stars,0.36075532
185,During the latter part of the conversation the black-haired young man,2,3 stars,0.3057438
186,had become very impatient.,2,3 stars,0.30437365
187,"He stared out of the window, and fidgeted,",0,1 star,0.49086866
188,and evidently longed for the end of the journey.,4,5 stars,0.49514592
189,He was very absent; he,0,1 star,0.44727695
190,would appear to listen—and heard nothing; and he would laugh of a,0,1 star,0.5771935
191,"sudden, evidently with no idea of what he was laughing about.",1,2 stars,0.43866414
192,"“Excuse me,” said the red-nosed man to the young fellow with the",0,1 star,0.2767303
193,"bundle, rather suddenly; “whom have I the honour to be talking to?”",2,3 stars,0.418864
194,"“Prince Lef Nicolaievitch Muishkin,” replied the latter, with perfect",4,5 stars,0.64756745
195,readiness.,4,5 stars,0.43823904
196,“Prince Muishkin?,0,1 star,0.32823592
197,Lef Nicolaievitch?,1,2 stars,0.29608282
198,H’m!,0,1 star,0.29215693
199,"I don’t know, I’m sure!",3,4 stars,0.337046
200,I may,2,3 stars,0.24357882
201,"say I have never heard of such a person,” said the clerk, thoughtfully.",0,1 star,0.50512207
202,"“At least, the name, I admit, is historical.",2,3 stars,0.41555884
203,Karamsin must mention the,4,5 stars,0.26143593
204,"family name, of course, in his history—but as an individual—one never",2,3 stars,0.35078767
205,hears of any Prince Muishkin nowadays.,4,5 stars,0.57667136
206,”,4,5 stars,0.30857787
207,"“Of course not,” replied the prince; “there are none, except myself.",0,1 star,0.65852004
208,I,4,5 stars,0.24874815
209,believe I am the last and only one.,4,5 stars,0.4924897
210,"As to my forefathers, they have",3,4 stars,0.39889106
211,always been a poor lot; my own father was a sublieutenant in the army.,1,2 stars,0.4405607
212,"I don’t know how Mrs. Epanchin comes into the Muishkin family, but she",2,3 stars,0.38471052
213,"is descended from the Princess Muishkin, and she, too, is the last of",3,4 stars,0.33003572
214,her line.,4,5 stars,0.33315063
215,”,4,5 stars,0.30857787
216,"“And did you learn science and all that, with your professor over",4,5 stars,0.5465083
217,there?,0,1 star,0.37246078
218,” asked the black-haired passenger.,0,1 star,0.31319776
219,"“Oh yes—I did learn a little, but—”",3,4 stars,0.38233447
220,"“I’ve never learned anything whatever,” said the other.",0,1 star,0.37621516
221,"“Oh, but I learned very little, you know!” added the prince, as though",2,3 stars,0.3543136
222,excusing himself.,4,5 stars,0.32292208
223,“They could not teach me very much on account of my,1,2 stars,0.485376
224,illness.,0,1 star,0.34309274
225,”,4,5 stars,0.30857787
226,"“Do you know the Rogojins?” asked his questioner, abruptly.",0,1 star,0.44445494
227,"“No, I don’t—not at all!",0,1 star,0.8036214
228,I hardly know anyone in Russia.,0,1 star,0.42898253
229,"Why, is that",0,1 star,0.31809935
230,your name?,0,1 star,0.38830152
231,”,4,5 stars,0.30857787
232,"“Yes, I am Rogojin, Parfen Rogojin.”",4,5 stars,0.31331226
233,“Parfen Rogojin?,0,1 star,0.31509003
234,"dear me—then don’t you belong to those very Rogojins,",0,1 star,0.48151633
235,"perhaps—” began the clerk, with a very perceptible increase of civility",2,3 stars,0.2620524
236,in his tone.,4,5 stars,0.42150182
237,"“Yes—those very ones,” interrupted Rogojin, impatiently, and with scant",4,5 stars,0.4296102
238,courtesy.,2,3 stars,0.277101
239,I may remark that he had not once taken any notice of the,2,3 stars,0.35089114
240,"blotchy-faced passenger, and had hitherto addressed all his remarks",0,1 star,0.28850925
241,direct to the prince.,4,5 stars,0.58482355
242,"“Dear me—is it possible?” observed the clerk, while his face assumed an",0,1 star,0.28626087
243,expression of great deference and servility—if not of absolute alarm:,4,5 stars,0.6405608
244,"“what, a son of that very Semen Rogojin—hereditary honourable",4,5 stars,0.65608615
245,citizen—who died a month or so ago and left two million and a half of,0,1 star,0.742903
246,roubles?,0,1 star,0.3962512
247,”,4,5 stars,0.30857787
248,“And how do _you_ know that he left two million and a half of roubles?”,0,1 star,0.66461396
249,"asked Rogojin, disdainfully, and not deigning so much as to look at the",0,1 star,0.4605628
250,other.,2,3 stars,0.37910748
251,"“However, it’s true enough that my father died a month ago, and",2,3 stars,0.35393357
252,"that here am I returning from Pskoff, a month after, with hardly a boot",0,1 star,0.6390362
253,to my foot.,4,5 stars,0.43124172
254,They’ve treated me like a dog!,4,5 stars,0.5983263
255,I’ve been ill of fever at,0,1 star,0.35360688
256,"Pskoff the whole time, and not a line, nor farthing of money, have I",0,1 star,0.42540225
257,received from my mother or my confounded brother!,4,5 stars,0.60609734
258,”,4,5 stars,0.30857787
259,"“And now you’ll have a million roubles, at least—goodness gracious me!”",4,5 stars,0.6420382
260,"exclaimed the clerk, rubbing his hands.",0,1 star,0.6422195
261,"“Five weeks since, I was just like yourself,” continued Rogojin,",4,5 stars,0.6405019
262,"addressing the prince, “with nothing but a bundle and the clothes I",4,5 stars,0.39454454
263,wore.,4,5 stars,0.27953938
264,"I ran away from my father and came to Pskoff to my aunt’s house,",0,1 star,0.23580033
265,"where I caved in at once with fever, and he went and died while I was",0,1 star,0.38279307
266,away.,0,1 star,0.3644211
267,All honour to my respected father’s memory—but he uncommonly,4,5 stars,0.57552034
268,"nearly killed me, all the same.",0,1 star,0.6536915
269,"Give you my word, prince, if I hadn’t",4,5 stars,0.40955064
270,"cut and run then, when I did, he’d have murdered me like a dog.",0,1 star,0.3883923
271,”,4,5 stars,0.30857787
272,"“I suppose you angered him somehow?” asked the prince, looking at the",0,1 star,0.28438067
273,millionaire with considerable curiosity.,4,5 stars,0.61187214
274,But though there may have been,2,3 stars,0.49982032
275,something remarkable in the fact that this man was heir to millions of,4,5 stars,0.819087
276,roubles there was something about him which surprised and interested,3,4 stars,0.38582048
277,the prince more than that.,4,5 stars,0.35837182
278,"Rogojin, too, seemed to have taken up the",2,3 stars,0.35601336
279,conversation with unusual alacrity it appeared that he was still in a,1,2 stars,0.31056386
280,"considerable state of excitement, if not absolutely feverish, and was",2,3 stars,0.46643457
281,"in real need of someone to talk to for the mere sake of talking, as",1,2 stars,0.29903954
282,safety-valve to his agitation.,3,4 stars,0.34043527
283,"As for his red-nosed neighbour, the latter—since the information as to",3,4 stars,0.42114028
284,"the identity of Rogojin—hung over him, seemed to be living on the honey",0,1 star,0.3398007
285,"of his words and in the breath of his nostrils, catching at every",4,5 stars,0.6594655
286,syllable as though it were a pearl of great price.,3,4 stars,0.342919
287,"“Oh, yes; I angered him—I certainly did anger him,” replied Rogojin.",0,1 star,0.50133723
288,“But what puts me out so is my brother.,2,3 stars,0.35382253
289,Of course my mother couldn’t do,0,1 star,0.3225125
290,anything—she’s too old—and whatever brother Senka says is law for her!,0,1 star,0.43321648
291,But why couldn’t he let me know?,2,3 stars,0.3598972
292,"He sent a telegram, they say.",0,1 star,0.31583828
293,What’s,4,5 stars,0.31033412
294,the good of a telegram?,2,3 stars,0.28480116
295,It frightened my aunt so that she sent it back,4,5 stars,0.22529891
296,"to the office unopened, and there it’s been ever since!",4,5 stars,0.69464904
297,It’s only,2,3 stars,0.27577755
298,thanks to Konief that I heard at all; he wrote me all about it.,4,5 stars,0.6051003
299,He says,0,1 star,0.3107248
300,"my brother cut off the gold tassels from my father’s coffin, at night",4,5 stars,0.50642365
301,‘because they’re worth a lot of money!,4,5 stars,0.5901674
302,’ says he.,0,1 star,0.3370201
303,"Why, I can get him",1,2 stars,0.29581395
304,"sent off to Siberia for that alone, if I like; it’s sacrilege.",0,1 star,0.34002554
305,"Here,",4,5 stars,0.34355706
306,you—scarecrow!,4,5 stars,0.579978
307,"” he added, addressing the clerk at his side, “is it",3,4 stars,0.27066636
308,"sacrilege or not, by law?",0,1 star,0.65442514
309,”,4,5 stars,0.30857787
310,"“Sacrilege, certainly—certainly sacrilege,” said the latter.",0,1 star,0.7063399
311,"“And it’s Siberia for sacrilege, isn’t it?”",0,1 star,0.2939524
312,"“Undoubtedly so; Siberia, of course!”",2,3 stars,0.3315031
313,"“They will think that I’m still ill,” continued Rogojin to the prince,",2,3 stars,0.21823305
314,"“but I sloped off quietly, seedy as I was, took the train and came",1,2 stars,0.32063097
315,away.,0,1 star,0.3644211
316,"Aha, brother Senka, you’ll have to open your gates and let me in,",0,1 star,0.2836229
317,my boy!,4,5 stars,0.695683
318,I know he told tales about me to my father—I know that well,4,5 stars,0.36562702
319,enough but I certainly did rile my father about Nastasia Philipovna,2,3 stars,0.5831515
320,"that’s very sure, and that was my own doing.",3,4 stars,0.33122963
321,”,4,5 stars,0.30857787
322,"“Nastasia Philipovna?” said the clerk, as though trying to think out",0,1 star,0.30644464
323,something.,1,2 stars,0.28446445
324,"“Come, you know nothing about _her_,” said Rogojin, impatiently.",4,5 stars,0.27003202
325,"“And supposing I do know something?” observed the other, triumphantly.",4,5 stars,0.46202663
326,“Bosh! there are plenty of Nastasia Philipovnas.,4,5 stars,0.39327002
327,And what an,4,5 stars,0.4303146
328,impertinent beast you are!,4,5 stars,0.9238763
329,” he added angrily.,0,1 star,0.3187532
330,“I thought some creature,2,3 stars,0.29366812
331,like you would hang on to me as soon as I got hold of my money.,4,5 stars,0.43587494
332,”,4,5 stars,0.30857787
333,"“Oh, but I do know, as it happens,” said the clerk in an aggravating",2,3 stars,0.36684322
334,manner.,4,5 stars,0.40024644
335,“Lebedeff knows all about her.,4,5 stars,0.53173786
336,"You are pleased to reproach me,",4,5 stars,0.4681251
337,"your excellency, but what if I prove that I am right after all?",4,5 stars,0.3866091
338,"Nastasia Philipovna’s family name is Barashkoff—I know, you see—and she",3,4 stars,0.304302
339,"is a very well known lady, indeed, and comes of a good family, too.",4,5 stars,0.6530071
340,She,2,3 stars,0.27790478
341,"is connected with one Totski, Afanasy Ivanovitch, a man of considerable",3,4 stars,0.3672804
342,"property, a director of companies, and so on, and a great friend of",4,5 stars,0.63654053
343,"General Epanchin, who is interested in the same matters as he is.",3,4 stars,0.4005391
344,”,4,5 stars,0.30857787
345,"“My eyes!” said Rogojin, really surprised at last.",4,5 stars,0.6776037
346,“The devil take the,4,5 stars,0.4522373
347,"fellow, how does he know that?",3,4 stars,0.24726889
348,”,4,5 stars,0.30857787
349,"“Why, he knows everything—Lebedeff knows everything!",4,5 stars,0.6459147
350,I was a month or,0,1 star,0.34948978
351,"two with Lihachof after his father died, your excellency, and while he",4,5 stars,0.5237383
352,"was knocking about—he’s in the debtor’s prison now—I was with him, and",0,1 star,0.34057972
353,he couldn’t do a thing without Lebedeff; and I got to know Nastasia,0,1 star,0.2901988
354,Philipovna and several people at that time.,3,4 stars,0.25532728
355,”,4,5 stars,0.30857787
356,“Nastasia Philipovna?,2,3 stars,0.28807664
357,"Why, you don’t mean to say that she and",0,1 star,0.31133494
358,"Lihachof—” cried Rogojin, turning quite pale.",0,1 star,0.39251179
359,"“No, no, no, no, no! Nothing of the sort, I assure you!” said Lebedeff,",0,1 star,0.7638195
360,hastily.,0,1 star,0.26557788
361,"“Oh dear no, not for the world!",0,1 star,0.5967452
362,Totski’s the only man with any,4,5 stars,0.5312129
363,chance there.,2,3 stars,0.23036599
364,"Oh, no!",0,1 star,0.6007249
365,He takes her to his box at the opera at the,3,4 stars,0.37507206
366,"French theatre of an evening, and the officers and people all look at",4,5 stars,0.40296942
367,"her and say, ‘By Jove, there’s the famous Nastasia Philipovna!’ but no",2,3 stars,0.26883522
368,"one ever gets any further than that, for there is nothing more to say.",4,5 stars,0.41486427
369,”,4,5 stars,0.30857787
370,"“Yes, it’s quite true,” said Rogojin, frowning gloomily; “so Zaleshoff",3,4 stars,0.32326186
371,"told me. I was walking about the Nefsky one fine day, prince, in my",4,5 stars,0.3531612
372,"father’s old coat, when she suddenly came out of a shop and stepped",0,1 star,0.2731392
373,into her carriage.,4,5 stars,0.30074376
374,I swear I was all of a blaze at once.,0,1 star,0.43546715
375,Then I met,2,3 stars,0.2498531
376,"Zaleshoff—looking like a hair-dresser’s assistant, got up as fine as I",4,5 stars,0.5022452
377,"don’t know who, while I looked like a tinker.",1,2 stars,0.36179972
378,"‘Don’t flatter yourself,",0,1 star,0.3018385
379,"my boy,’ said he; ‘she’s not for such as you; she’s a princess, she is,",0,1 star,0.28443235
380,"and her name is Nastasia Philipovna Barashkoff, and she lives with",4,5 stars,0.5122285
381,"Totski, who wishes to get rid of her because he’s growing rather",2,3 stars,0.3546903
382,"old—fifty-five or so—and wants to marry a certain beauty, the loveliest",4,5 stars,0.7517738
383,woman in all Petersburg.,4,5 stars,0.6134323
384,’ And then he told me that I could see Nastasia,2,3 stars,0.22625709
385,"Philipovna at the opera-house that evening, if I liked, and described",2,3 stars,0.3061334
386,which was her box.,4,5 stars,0.23034762
387,"Well, I’d like to see my father allowing any of us",4,5 stars,0.35939884
388,"to go to the theatre; he’d sooner have killed us, any day.",4,5 stars,0.34984982
389,"However, I",2,3 stars,0.45707762
390,"went for an hour or so and saw Nastasia Philipovna, and I never slept a",0,1 star,0.5819391
391,wink all night after.,4,5 stars,0.4820963
392,Next morning my father happened to give me two,1,2 stars,0.2792587
393,"government loan bonds to sell, worth nearly five thousand roubles each.",0,1 star,0.39659125
394,"‘Sell them,’ said he, ‘and then take seven thousand five hundred",0,1 star,0.6607772
395,"roubles to the office, give them to the cashier, and bring me back the",0,1 star,0.64932853
396,"rest of the ten thousand, without looking in anywhere on the way; look",0,1 star,0.28136995
397,"sharp, I shall be waiting for you.",4,5 stars,0.54275435
398,"’ Well, I sold the bonds, but I",2,3 stars,0.29054406
399,didn’t take the seven thousand roubles to the office; I went straight,0,1 star,0.5754242
400,"to the English shop and chose a pair of earrings, with a diamond the",0,1 star,0.27154237
401,size of a nut in each.,2,3 stars,0.24065123
402,"They cost four hundred roubles more than I had,",0,1 star,0.4007044
403,"so I gave my name, and they trusted me.",4,5 stars,0.52336204
404,With the earrings I went at,4,5 stars,0.29059598
405,once to Zaleshoff’s.,3,4 stars,0.2369129
406,"‘Come on!’ I said, ‘come on to Nastasia",4,5 stars,0.44888553
407,"Philipovna’s,’ and off we went without more ado.",2,3 stars,0.29401663
408,I tell you I hadn’t a,0,1 star,0.25849465
409,notion of what was about me or before me or below my feet all the way;,2,3 stars,0.3021479
410,I saw nothing whatever.,1,2 stars,0.398531
411,"We went straight into her drawing-room, and",4,5 stars,0.24159895
412,then she came out to us.,0,1 star,0.29409203
413,"“I didn’t say right out who I was, but Zaleshoff said: ‘From Parfen",2,3 stars,0.23985906
414,"Rogojin, in memory of his first meeting with you yesterday; be so kind",4,5 stars,0.54291666
415,as to accept these!,4,5 stars,0.41421995
416,’,4,5 stars,0.30857787
417,"“She opened the parcel, looked at the earrings, and laughed.",0,1 star,0.43682215
418,"“‘Thank your friend Mr. Rogojin for his kind attention,’ says she, and",4,5 stars,0.5216603
419,bowed and went off.,0,1 star,0.7013092
420,Why didn’t I die there on the spot?,0,1 star,0.37851605
421,The worst of it,0,1 star,0.82246065
422,"all was, though, that the beast Zaleshoff got all the credit of it!",3,4 stars,0.29814294
423,I,4,5 stars,0.24874815
424,"was short and abominably dressed, and stood and stared in her face and",0,1 star,0.47869056
425,"never said a word, because I was shy, like an ass!",0,1 star,0.52909917
426,And there was he all,4,5 stars,0.36565357
427,"in the fashion, pomaded and dressed out, with a smart tie on, bowing",4,5 stars,0.49743113
428,and scraping; and I bet anything she took him for me all the while!,0,1 star,0.39942315
429,"“‘Look here now,’ I said, when we came out, ‘none of your interference",0,1 star,0.55646986
430,here after this—do you understand?,4,5 stars,0.31049603
431,’ He laughed: ‘And how are you going,4,5 stars,0.40519333
432,to settle up with your father?,2,3 stars,0.26971883
433,’ says he.,0,1 star,0.3370201
434,I thought I might as well jump,2,3 stars,0.38193005
435,into the Neva at once without going home first; but it struck me that I,2,3 stars,0.29750344
436,"wouldn’t, after all, and I went home feeling like one of the damned.",0,1 star,0.5086061
437,”,4,5 stars,0.30857787
438,“My goodness!” shivered the clerk.,4,5 stars,0.7759722
439,"“And his father,” he added, for the",4,5 stars,0.43412027
440,"prince’s instruction, “and his father would have given a man a ticket",3,4 stars,0.27807736
441,to the other world for ten roubles any day—not to speak of ten,0,1 star,0.34310696
442,thousand!,4,5 stars,0.56303734
443,”,4,5 stars,0.30857787
444,The prince observed Rogojin with great curiosity; he seemed paler than,3,4 stars,0.3567678
445,ever at this moment.,4,5 stars,0.8015169
446,“What do you know about it?” cried the latter.,0,1 star,0.46636266
447,"“Well, my father learned",4,5 stars,0.48034206
448,"the whole story at once, and Zaleshoff blabbed it all over the town",4,5 stars,0.29012516
449,besides.,2,3 stars,0.291563
450,"So he took me upstairs and locked me up, and swore at me for",2,3 stars,0.32470208
451,an hour.,4,5 stars,0.3745124
